publication_year,videos,topic_number,topic_label,mean_video_relative_weight,dominant_video_share
2023,249,9,Performance checking and troubleshooting,0.05530913468443948,0.024096385542168676
2023,249,10,"Implementation follow-up, outcomes and retrospective questions",0.037210295727450646,0.012048192771084338
2023,249,11,"Product sourcing, access and location questions",0.03486072600792853,0.020080321285140562
2023,249,12,Roof and attic ventilation and airflow,0.08181280768923462,0.1285140562248996
2023,249,13,"Wall, cavity and floor insulation",0.0727393689931091,0.10441767068273092
2023,249,14,Thermostat wiring and smart heating controls,0.052624707267375566,0.07630522088353414
2023,249,15,Vapour barriers and moisture control,0.03497856763422444,0.020080321285140562
2023,249,16,"Prospective choices, recommendations and alternatives",0.061383469082634444,0.024096385542168676
2024,273,1,Situated household retrofit experience and building context,0.13455700280951052,0.19047619047619047
2024,273,2,Spray foam and foam insulation,0.028007865698736853,0.02197802197802198
2024,273,3,Clarification and specification questions,0.07850458804485094,0.07692307692307693
2024,273,4,"Implementation, cost and how-to questions",0.05657403207369337,0.03296703296703297
2024,273,5,Heat pumps and heating systems,0.05275715776613095,0.08424908424908426
2024,273,6,"Praise, gratitude and social endorsement",0.06872834467678292,0.054945054945054944
2024,273,7,"Alternative methods, challenges and ""why"" questions",0.05417091769376963,0.02197802197802198
2024,273,8,"Solar PV, batteries and power systems",0.06320817107477678,0.06593406593406594
2024,273,9,Performance checking and troubleshooting,0.06429556744440812,0.03663003663003663
2024,273,10,"Implementation follow-up, outcomes and retrospective questions",0.039694931365192296,0.029304029304029304
2024,273,11,"Product sourcing, access and location questions",0.04016762801655124,0.02564102564102564
2024,273,12,Roof and attic ventilation and airflow,0.07579389822063744,0.09523809523809523
2024,273,13,"Wall, cavity and floor insulation",0.0885779574780975,0.14285714285714285
2024,273,14,Thermostat wiring and smart heating controls,0.057863729024974074,0.08791208791208792
2024,273,15,Vapour barriers and moisture control,0.03728634122390816,0.02564102564102564
2024,273,16,"Prospective choices, recommendations and alternatives",0.05981186738797918,0.007326007326007326
2025,255,1,Situated household retrofit experience and building context,0.1360023252135321,0.19607843137254902
2025,255,2,Spray foam and foam insulation,0.03176593001916171,0.03529411764705882
2025,255,3,Clarification and specification questions,0.07003445323346066,0.050980392156862744
2025,255,4,"Implementation, cost and how-to questions",0.06332318834448114,0.050980392156862744
2025,255,5,Heat pumps and heating systems,0.0596798638229516,0.09803921568627451
2025,255,6,"Praise, gratitude and social endorsement",0.0566364253477419,0.043137254901960784
2025,255,7,"Alternative methods, challenges and ""why"" questions",0.057988181871169366,0.027450980392156862
2025,255,8,"Solar PV, batteries and power systems",0.07458062031807744,0.10588235294117647
2025,255,9,Performance checking and troubleshooting,0.06200992105623123,0.027450980392156862
2025,255,10,"Implementation follow-up, outcomes and retrospective questions",0.0423471550163164,0.0196078431372549
2025,255,11,"Product sourcing, access and location questions",0.033782393584468294,0.023529411764705882
2025,255,12,Roof and attic ventilation and airflow,0.08335523928193299,0.08627450980392157
2025,255,13,"Wall, cavity and floor insulation",0.0678286790983914,0.10980392156862745
2025,255,14,Thermostat wiring and smart heating controls,0.05217223527131465,0.06666666666666667
2025,255,15,Vapour barriers and moisture control,0.03702360705090362,0.023529411764705882
2025,255,16,"Prospective choices, recommendations and alternatives",0.07146978146986552,0.03529411764705882
2026,36,1,Situated household retrofit experience and building context,0.1635541133107479,0.19444444444444445
2026,36,2,Spray foam and foam insulation,0.019592805110654078,0.027777777777777776
2026,36,3,Clarification and specification questions,0.06979828852539659,0.05555555555555555
2026,36,4,"Implementation, cost and how-to questions",0.06899711457284313,0.05555555555555555
2026,36,5,Heat pumps and heating systems,0.0644964459699205,0.16666666666666666
2026,36,6,"Praise, gratitude and social endorsement",0.05330585201417907,0.0
2026,36,7,"Alternative methods, challenges and ""why"" questions",0.04700207558630431,0.0
2026,36,8,"Solar PV, batteries and power systems",0.10679604711792363,0.16666666666666666
2026,36,9,Performance checking and troubleshooting,0.04883658147695657,0.0
2026,36,10,"Implementation follow-up, outcomes and retrospective questions",0.0674248792315059,0.08333333333333333
2026,36,11,"Product sourcing, access and location questions",0.013479010711856674,0.0
2026,36,12,Roof and attic ventilation and airflow,0.0797593836062387,0.1111111111111111
2026,36,13,"Wall, cavity and floor insulation",0.06893629947280538,0.1111111111111111
2026,36,14,Thermostat wiring and smart heating controls,0.0165890511777293,0.0
2026,36,15,Vapour barriers and moisture control,0.033098511404100354,0.027777777777777776
2026,36,16,"Prospective choices, recommendations and alternatives",0.07833354071083788,0.0
