video_id,comment_id,retrofit_topic,creator_type,video_type,primary_theme,comment_text_no_urls,nmf_text_conservative,exclusion_reason
PHeTx5sGL3A,UgwLjzf10bjRMTmPsSx4AaABAg,solar_renewable_integration,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request,Is this a repost?,is this a repost?,No retained TF-IDF features after stop-word and document-frequency filtering
PHeTx5sGL3A,UgzDgkYQ9P0Ks5-Wqbx4AaABAg,solar_renewable_integration,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request,Is this a reupload?,is this a reupload?,No retained TF-IDF features after stop-word and document-frequency filtering
PHeTx5sGL3A,UgzYewvOFnR5KLDqU9F4AaABAg,solar_renewable_integration,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request,Is that a Casio F91W?,is that a casio f91w?,No retained TF-IDF features after stop-word and document-frequency filtering
zg9IM061rbU,UgwWjrawgU0sBuJevjp4AaABAg,solar_renewable_integration,diy_renovator_homeowner,how_to_installation_demo,theme_question_request,Can we get teardown of your F-91W?,can we get teardown of your f-91w?,No retained TF-IDF features after stop-word and document-frequency filtering
bRW2omjqJx4,UgxjCTvV_kFD7XBCET94AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,Wo is der gesichert mit seinem Gurt?😅,wo is der gesichert mit seinem gurt?😅,No retained TF-IDF features after stop-word and document-frequency filtering
9OFpzKn0cq4,Ugyhr8mDxyXcCNveeUp4AaABAg,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,theme_practical_advice,You have to do yourself 😎👍🤜🤛,you have to do yourself 😎👍🤜🤛,No retained TF-IDF features after stop-word and document-frequency filtering
WBrL9153zJQ,UgxaaKh6elw4GGPHfa94AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,theme_question_request,Is it 110 or 220 ?,is it 110 or 220 ?,No retained TF-IDF features after stop-word and document-frequency filtering
WBrL9153zJQ,UgzmD4SKXiHZoSxe6OR4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,theme_question_request,Can I do this in Provo?,can i do this in provo?,No retained TF-IDF features after stop-word and document-frequency filtering
RwHD7D6avyQ,UgwZfIbhx0pxITfrorl4AaABAg,floor_insulation,builder_contractor,how_to_installation_demo,theme_question_request,Is it glasswool?,is it glasswool?,No retained TF-IDF features after stop-word and document-frequency filtering
RwHD7D6avyQ,UgzF4JbQ7VZraPuaVbt4AaABAg,floor_insulation,builder_contractor,how_to_installation_demo,theme_question_request,But were is all and plumming go then??!,but were is all and plumming go then??!,No retained TF-IDF features after stop-word and document-frequency filtering
DSpJfAKdJLg,UgzSTpp9Id1Ei962S4R4AaABAg,ventilation_mvhr,builder_contractor,how_to_installation_demo,theme_question_request,Are you depressed???,are you depressed???,No retained TF-IDF features after stop-word and document-frequency filtering
UG7qWFqYQGU,Ugyfzy-LG78TF5T1bJF4AaABAg,smart_heating_controls,installer_tradesperson,problem_warning_mistakes,theme_cost_finance,That’ll be another $2100… 😂😂😂😂😂😂😂😂,that will be another $2100... 😂😂😂😂😂😂😂😂,No retained TF-IDF features after stop-word and document-frequency filtering
UG7qWFqYQGU,UgyzzKikxadX7OMggLV4AaABAg,smart_heating_controls,installer_tradesperson,problem_warning_mistakes,theme_cost_finance,That'll be $500,that will be $500,No retained TF-IDF features after stop-word and document-frequency filtering
ABjqoJ0eXYo,Ugxw40jNcr86jAyqjpt4AaABAg,smart_heating_controls,training_educational,how_to_installation_demo,theme_question_request,is it the same with ecotech 825 ?,is it the same with ecotech 825 ?,No retained TF-IDF features after stop-word and document-frequency filtering
w4s-oE-VQwg,UgyAi3qjnrzwG-q4jwx4AaABAg,solar_renewable_integration,diy_renovator_homeowner,how_to_installation_demo,theme_question_request,I'm a caveman. Can I do this?,i am a caveman. can i do this?,No retained TF-IDF features after stop-word and document-frequency filtering
P6rA-E-HmQ0,Ugx4OiMxI06ouKaCXqd4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,Please can I get a full lecture on this system?,please can i get a full lecture on this system?,No retained TF-IDF features after stop-word and document-frequency filtering
VrKYlQPHfno,UgySjwHgFA0DcNowj9h4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,Anyone see bald Bradley cooper?,anyone see bald bradley cooper?,No retained TF-IDF features after stop-word and document-frequency filtering
CPLkXkKwTFM,Ugwfi5Vx16e7RZT2i3t4AaABAg,ventilation_mvhr,training_educational,practical_advice_explainer,theme_question_request,Who do we belive?,who do we belive?,No retained TF-IDF features after stop-word and document-frequency filtering
bPe_b87qVUY,UgzSPWnPZ8mTmtqXdtl4AaABAg,airtightness_draught_proofing,training_educational,practical_advice_explainer,theme_energy_performance,#getonwiththejob and #InsulateBritain,#getonwiththejob and #insulatebritain,No retained TF-IDF features after stop-word and document-frequency filtering
QL1oZojFnyY,Ugxu7FyshQ9eEmP-BtR4AaABAg,floor_insulation,builder_contractor,practical_advice_explainer,theme_question_request,Is dat beton eronder of anhydriet!?,is dat beton eronder of anhydriet!?,No retained TF-IDF features after stop-word and document-frequency filtering
QL1oZojFnyY,UgwsFRH_BIq-RqsyQ2Z4AaABAg,floor_insulation,builder_contractor,practical_advice_explainer,theme_question_request,Is it foom?,is it foom?,No retained TF-IDF features after stop-word and document-frequency filtering
QL1oZojFnyY,UgzfGyiJmAxdOjLPQgJ4AaABAg,floor_insulation,builder_contractor,practical_advice_explainer,theme_cost_finance,€20 per plaat... Kostbaar vloertje 🙄,€20 per plaat... kostbaar vloertje 🙄,No retained TF-IDF features after stop-word and document-frequency filtering
0WgfnhWOfvI,Ugx8xla4H4QYWWsF-0h4AaABAg,loft_roof_insulation,builder_contractor,how_to_installation_demo,theme_question_request,Is it hostel for mouses?😮,is it hostel for mouses?😮,No retained TF-IDF features after stop-word and document-frequency filtering
WoLG6q1Tfgs,UgxsMrsxc3OKPwqvnah4AaABAg,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request,Is that a Premier Royal Ace I see?,is that a premier royal ace i see?,No retained TF-IDF features after stop-word and document-frequency filtering
Qz-aHoew5cs,UgzG0efjoLt1grbfERl4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request,Are you serious. ???,are you serious. ???,No retained TF-IDF features after stop-word and document-frequency filtering
pvUA6iFJKy8,UgwdsrmgYu2wPGca1RJ4AaABAg,damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,theme_question_request,Ohgee is that you?,ohgee is that you?,No retained TF-IDF features after stop-word and document-frequency filtering
QOe4lluGwCg,Ugy8I3osOsnOcQvl7Tp4AaABAg,ventilation_mvhr,training_educational,practical_advice_explainer,theme_practical_advice,Well done as always!,well done as always!,No retained TF-IDF features after stop-word and document-frequency filtering
jEBzGn4AsGg,UgwBVaTp1tHB_w4DLOd4AaABAg,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_question_request,Can you do both?,can you do both?,No retained TF-IDF features after stop-word and document-frequency filtering
FDjXoiylGl4,UgxMNAbbPgOKwiH3qcp4AaABAg,smart_heating_controls,builder_contractor,how_to_installation_demo,theme_cost_finance,That's £250 please,that £250 please,No retained TF-IDF features after stop-word and document-frequency filtering
FAhOxmYHFTg,Ugxq1F4v5lDrEPWHGqV4AaABAg,heat_pump_heating_retrofit,diy_renovator_homeowner,practical_advice_explainer,theme_question_request,"Tldr, is that you?","tldr, is that you?",No retained TF-IDF features after stop-word and document-frequency filtering
l_w9DNhDJM0,UgyHhV6pfFC0fSEQJAR4AaABAg,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_cost_finance,"That’ll be £15,000 please","that will be £15,000 please",No retained TF-IDF features after stop-word and document-frequency filtering
g-xfY5FjsXA,UgzUsm23y62tlTgN8cB4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request,Are we mindreaders?,are we mindreaders?,No retained TF-IDF features after stop-word and document-frequency filtering
ZLKPLqBI6Ow,Ugz0rL0pC7osZxiEhyB4AaABAg,general_energy_retrofit,builder_contractor,project_walkthrough,theme_question_request,"Brett, do you do virtual consultations?","brett, do you do virtual consultations?",No retained TF-IDF features after stop-word and document-frequency filtering
Ha7bnPiDd-w,UgwMxXcUMx825KhRmRR4AaABAg,heat_pump_heating_retrofit,training_educational,how_to_installation_demo,theme_cost_finance,"That will be $4,000","that will be $4,000",No retained TF-IDF features after stop-word and document-frequency filtering
