retrofit_topic,creator_type,video_type,comment_count,video_count
external_wall_insulation,training_educational,project_walkthrough,14,1
internal_wall_insulation,diy_renovator_homeowner,project_walkthrough,14,1
airtightness_draught_proofing,builder_contractor,project_walkthrough,12,1
external_wall_insulation,diy_renovator_homeowner,project_walkthrough,11,1
general_energy_retrofit,diy_renovator_homeowner,project_walkthrough,10,1
windows_doors_glazing,builder_contractor,problem_warning_mistakes,9,2
cavity_wall_insulation,installer_tradesperson,practical_advice_explainer,9,1
solar_renewable_integration,builder_contractor,how_to_installation_demo,8,2
heat_pump_heating_retrofit,training_educational,problem_warning_mistakes,8,1
solar_renewable_integration,builder_contractor,problem_warning_mistakes,8,1
cavity_wall_insulation,diy_renovator_homeowner,problem_warning_mistakes,7,2
internal_wall_insulation,builder_contractor,practical_advice_explainer,7,1
general_energy_retrofit,builder_contractor,how_to_installation_demo,6,3
windows_doors_glazing,diy_renovator_homeowner,project_walkthrough,6,2
windows_doors_glazing,builder_contractor,project_walkthrough,6,1
ventilation_mvhr,builder_contractor,problem_warning_mistakes,5,1
floor_insulation,builder_contractor,practical_advice_explainer,4,1
windows_doors_glazing,builder_contractor,practical_advice_explainer,4,1
whole_house_deep_retrofit,builder_contractor,problem_warning_mistakes,3,1
external_wall_insulation,training_educational,problem_warning_mistakes,2,1
whole_house_deep_retrofit,diy_renovator_homeowner,how_to_installation_demo,2,1
external_wall_insulation,diy_renovator_homeowner,problem_warning_mistakes,1,1
floor_insulation,diy_renovator_homeowner,practical_advice_explainer,1,1
floor_insulation,installer_tradesperson,practical_advice_explainer,1,1
general_energy_retrofit,builder_contractor,practical_advice_explainer,1,1
solar_renewable_integration,diy_renovator_homeowner,practical_advice_explainer,1,1
whole_house_deep_retrofit,builder_contractor,practical_advice_explainer,1,1
windows_doors_glazing,diy_renovator_homeowner,problem_warning_mistakes,1,1
